run	log_F	b5H1_log_P	b5H1_weight	b5F2_log_P	b5F2_weight	b5G4_log_P	b5G4_weight	b5H3_log_P	b5H3_weight	b5H7_log_P	b5H7_weight	b5H2_log_P	b5H2_weight	b5H6_log_P	b5H6_weight	b5G9_log_P	b5G9_weight
samp_74	-1.3919639694748371	-2.398301711059876	2.0	-0.9803432228391069	2.0		0.0	-5.1199044236884586	1.0	-2.0065344189602783	1.0		0.0	-0.9645629841826964	2.0		0.0
samp_75	-1.492320657831318	-2.408130679584643	1.0		0.0		0.0	-5.129674339400493	1.0	-2.0166020466668013	2.0	-2.5957046503335985	1.0	-0.9754077761187119	1.0	-4.901169558973353	2.0
samp_76	-18.353152321704727	-2.5107219753431576	1.0	-1.0978462122392465	1.0	-4.5402045762862056	2.0		0.0		0.0	-2.6982434842733114	1.0	-1.0856242766156077	1.0	-5.002349821528749	2.0
samp_77	-1.4492704847022981		0.0	-0.9864696551503042	2.0	-4.434826372887337	1.0	-5.125579755855904	1.0	-2.012388157942782	2.0		0.0	-0.9708712571907009	1.0	-4.8971680187299365	1.0
samp_78	-0.21456593123871245	-2.20497650837622	3.0	-0.7633338458437753	1.0		0.0	-4.93300914681977	2.0		0.0	-2.393744483430338	1.0		0.0	-4.708565012932762	1.0
samp_79	-1.3720225210726662		0.0	-0.9781401634202872	2.0		0.0	-5.1178681025614985	1.0		0.0	-2.583856030678052	1.0	-0.9622931633778754	3.0	-4.889630611154039	1.0
samp_80	-1.3294201454726486	-2.391756194624257	2.0	-0.9733026324110511	1.0		0.0	-5.113412279344557	1.0	-1.9998239527160744	1.0	-2.5793735170467986	1.0	-0.9573004273010478	1.0	-4.8852703626298855	1.0
samp_81	-1.8394708300459512		0.0		0.0		0.0	-5.157861171305985	1.0	-2.045476106415285	3.0	-2.6238768951928964	1.0	-1.0062735481115033	2.0	-4.928738201985258	1.0
samp_82	-1.5519341070727102	-2.4136015480790984	1.0		0.0	-4.444185170300236	1.0	-5.135098471017221	1.0	-2.0221821648940295	1.0	-2.6011531879484644	1.0	-0.9814087379955364	3.0		0.0
samp_83	-18.18291461148227	-2.5107270045032952	3.0	-1.0978555260329077	1.0	-4.5402077582153435	2.0		0.0	-2.1211995031518143	1.0		0.0	-1.085631751325658	1.0		0.0
samp_84	-1.6191861555832632	-2.419427185955171	1.0		0.0		0.0	-5.140929186158419	1.0	-2.028171923690716	2.0	-2.606976966058759	1.0	-0.987814585008534	2.0	-4.912180602619315	1.0
samp_85	-0.29520020450669154		0.0	-0.7852163746409418	1.0	-4.262391183241663	1.0	-4.950714476229899	2.0	-1.8261119048137286	1.0	-2.412330498511144	1.0	-0.7634601313045226	1.0	-4.725927989561548	1.0
samp_86	-0.3888545044121696	-2.244374484122343	1.0	-0.809089433549903	1.0	-4.281786223978509	1.0	-4.970303455125158	2.0	-1.847596230312101	3.0		0.0		0.0		0.0
samp_87	-18.019679485224		0.0	-1.0978780450985934	1.0	-4.540208922522539	1.0		0.0	-2.121192102601145	1.0	-2.6982235749809322	2.0	-1.0856029257179278	1.0	-5.00235371938577	2.0
samp_88	-1.169925565228787	-2.3734744982174374	3.0	-0.9535258393292563	2.0		0.0	-5.0953491582348365	1.0		0.0	-2.561151024832734	1.0	-0.9369397275513259	1.0		0.0
samp_89	-0.22552447206782367	-2.207579506311338	2.0	-0.7663801711019337	1.0	-4.24727128300074	1.0	-4.935457266345515	2.0		0.0	-2.3963180478885797	1.0		0.0	-4.7109660163926055	1.0
