run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B5_log_P	b2B5_weight
samp_64	-1.1398308868318652	-5.043423636120576	2.0	-2.3064601349864073	1.0		0.0	-4.669157122515506	2.0		0.0	-4.7351812223564	3.0		0.0	-5.183212654835104	1.0	-1.6112181791870308	2.0		0.0		0.0	-7.470602965052085	1.0	-4.751758036335216	1.0	-0.35367066223096444	1.0	-5.041599467407765	1.0
samp_65	-1.199022748519453	-5.02434784777403	2.0		0.0	-4.8644264586940915	2.0	-4.651757713605854	2.0	-0.6268142520586788	1.0	-4.716925239023533	1.0	-4.833128640805873	1.0	-5.1636306553479026	1.0		0.0		0.0	-4.6045865937182855	1.0	-7.4435597198410575	1.0	-4.733105320642962	3.0		0.0		0.0
samp_66	-1.2919765078042085	-4.993726448777873	2.0	-2.3142878064578873	1.0		0.0	-4.623689338996657	1.0		0.0	-4.687562144458018	1.0	-4.803942948982471	2.0	-5.132246540986532	1.0		0.0	-4.159006889515751	1.0	-4.5772375779905765	1.0	-7.400850532749824	1.0	-4.703129297662354	3.0	-0.3524763076140457	1.0		0.0
samp_67	-1.0463719632204622	-5.072846106950351	1.0	-2.3008116742453617	1.0	-4.911296277636516	1.0	-4.695856633713567	2.0	-0.6242236507241303	1.0		0.0		0.0	-5.213473778954509	1.0	-1.6051085280224053	1.0	-4.216270973244278	1.0		0.0	-7.513018785780047	2.0		0.0	-0.3542431224303259	1.0	-5.0722066761301665	3.0
samp_68	-1.5986180558408998	-4.887619262534885	1.0	-2.3223312521786568	2.0		0.0		0.0	-0.6335381527414238	1.0		0.0	-4.702101841836969	2.0	-5.023829041178438	2.0	-1.640009576812298	1.0	-4.076832584698061	1.0	-4.480879822879674	2.0		0.0	-4.598843958545496	1.0	-0.34873066857081436	1.0	-4.880525088366105	1.0
samp_69	-1.0760135895655065	-5.0636072816262185	1.0		0.0	-4.902384188980224	1.0	-4.687492382698027	1.0		0.0	-4.754455604587601	2.0		0.0	-5.203968235325686	1.0		0.0	-4.2097885120854786	2.0	-4.639334380776621	1.0	-7.499604716238481	2.0	-4.7714715756880075	1.0	-0.35406180577837826	1.0	-5.062586232482971	2.0
samp_70	-1.2995644821183063	-4.991197815185282	2.0		0.0		0.0	-4.621357906936936	2.0	-0.6285505386637361	1.0	-4.685125884623392	1.0	-4.80152199357083	1.0	-5.129651512105054	1.0		0.0	-4.157110707358398	1.0	-4.574960394585581	2.0	-7.397352927441687	2.0		0.0	-0.3524105616641514	1.0	-4.987447070888487	1.0
samp_71	-1.2736144393821778		0.0	-2.313458580582806	1.0	-4.840696145897821	1.0	-4.629301946896026	3.0	-0.6281045537622136	1.0	-4.69342826546269	2.0		0.0		0.0		0.0	-4.163562794276596	1.0	-4.58271171405563	2.0	-7.409307823817898	1.0	-4.709115504449524	1.0	-0.3526458678259656	1.0	-4.996393318746568	1.0
samp_72	-1.5318240732438408	-4.9113468997539345	1.0		0.0	-4.754645882606332	1.0	-4.547360472843316	1.0	-0.6324837998327709	1.0		0.0	-4.724958247655422	1.0	-5.048026102971686	1.0	-1.6362049886329424	2.0	-4.095670419908469	2.0	-4.502614853964865	3.0		0.0		0.0		0.0	-4.904970668133629	2.0
samp_73	-0.9911507253991203	-5.089823082952829	2.0	-2.2972178919953326	1.0	-4.927655382880872	2.0		0.0		0.0		0.0		0.0	-5.230954941022906	3.0		0.0	-4.2280372567635185	1.0		0.0		0.0	-4.797037816891092	1.0		0.0	-5.089894833964006	5.0
samp_74	-1.3151072389110834		0.0		0.0	-4.827260959137014	1.0		0.0		0.0	-4.680119949207674	1.0	-4.796548446386283	1.0	-5.124317924360922	2.0	-1.6227021351314443	3.0	-4.1531960586712575	1.0	-4.57028621284786	2.0	-7.390177093367001	1.0		0.0	-0.3522599904421088	1.0	-4.982064316412168	2.0
samp_75	-1.4501954961905157	-4.939903756054786	2.0	-2.3199500340979604	4.0		0.0	-4.57394181767522	1.0		0.0		0.0		0.0	-5.077184521371639	3.0		0.0		0.0	-4.52863350596979	1.0	-7.3276427335087115	2.0		0.0	-0.35080924801450547	1.0	-4.934422617703132	1.0
