run	log_tbg	log_alphap	log_betap	b13H4_log_P	b13H4_weight	b13H5_log_P	b13H5_weight	b13H6_log_P	b13H6_weight	b13H7_log_P	b13H7_weight	b13H8_log_P	b13H8_weight	b13H9_log_P	b13H9_weight	b13I1_log_P	b13I1_weight	b13I3_log_P	b13I3_weight	b13I4_log_P	b13I4_weight	b13I5_log_P	b13I5_weight	b13I7_log_P	b13I7_weight	b13I8_log_P	b13I8_weight	b13I9_log_P	b13I9_weight	b14A1_log_P	b14A1_weight	b14A2_log_P	b14A2_weight	b14A4_log_P	b14A4_weight	b14A5_log_P	b14A5_weight	b14A6_log_P	b14A6_weight	b14A7_log_P	b14A7_weight	b3G7_log_P	b3G7_weight
samp_33	-6.195242231476542	3.05537120108914	-0.10494504197577748	-9.110452876984109	2.0	-6.993691841193938	1.0	-7.603448050342739	1.0	-10.19296532520289	1.0	-7.453054746810619	2.0	-7.909526349658104	4.0	-10.54713107435864	2.0	-6.011912752526612	2.0		0.0		0.0		0.0		0.0		0.0	0.6226314772331291	2.0		0.0	-5.281680197146736	1.0		0.0		0.0		0.0	-4.6607526197057005	2.0
samp_34	-6.749485875076497	3.054967898505829	-0.1857711207963967	-8.869094586719656	1.0	-6.921716736194873	1.0		0.0	-9.995022669231309	1.0	-7.365939955048577	1.0	-7.799526315157422	2.0		0.0	-5.95790074629604	1.0	-2.955278678102973	1.0	-5.2819091666710625	2.0		0.0		0.0	-12.154862260444467	1.0	0.6391874710142964	1.0	-4.668791562963761	4.0		0.0	-4.387413783541037	1.0	-7.361526768214417	1.0	-8.957094696184857	1.0	-4.616823838056332	1.0
samp_35	-6.473373739811846	2.8645160607930666	-0.06075245960177254		0.0	-6.899442108687866	1.0	-7.474791942359026	2.0	-10.00852620792432	1.0	-7.347339486846842	1.0	-7.787200417222358	2.0	-10.264767030981142	2.0	-5.933310044401579	1.0		0.0	-5.2598570998847185	1.0	-4.3319035449841845	1.0		0.0	-12.458206226488516	1.0	0.6128317118691567	1.0	-4.652614562925384	1.0		0.0	-4.373134646609445	1.0	-7.343332663864582	1.0	-8.977037537633766	2.0	-4.599026815455176	1.0
samp_36	-6.025215637405676	3.0234453599923503	-0.11420429209613825		0.0	-6.982371583560592	2.0	-7.607218532135049	2.0	-10.203853258064061	1.0	-7.445432988322701	1.0		0.0	-10.595026346592912	2.0	-5.996104276981155	1.0		0.0	-5.313316023872774	1.0		0.0	-11.500104774934806	1.0		0.0	0.624515361251238	2.0	-4.697501593292878	1.0		0.0		0.0	-7.4426079233202795	2.0	-9.186492856605547	3.0	-4.64402869321307	1.0
samp_37	-5.953313560455208	2.8665981343262987	-0.12698081624558802	-9.013771458801669	2.0	-6.892493573648256	1.0	-7.5097275826919825	4.0		0.0	-7.351731025100095	2.0	-7.808512212965235	2.0		0.0		0.0	-2.947474782587989	1.0	-5.2340606349016685	1.0		0.0	-11.398986445314714	1.0	-25.935789864206154	1.0		0.0	-4.624341533295165	2.0		0.0	-4.344177924565052	2.0	-7.348846787548592	1.0		0.0		0.0
samp_38	-5.881435490789889	3.1356358090057954	-0.12061114027833257		0.0		0.0	-7.709123991392148	1.0		0.0	-7.526316735149552	2.0	-8.000461849773652	2.0	-10.777785658882642	1.0	-6.0548852515343	2.0		0.0		0.0	-4.414903132990784	1.0	-11.8086939384684	2.0	-27.05425585094621	1.0	0.625275962069532	2.0		0.0	-5.31652873858051	1.0	-4.457555577777725	1.0	-7.524207082023225	1.0	-9.318795330547763	2.0	-4.689897413008278	1.0
samp_39	-6.090707379608962	3.1453472090564842	-0.20746246871970467	-9.136594594099797	2.0	-6.99274052196368	1.0		0.0	-10.20934639022066	1.0		0.0	-7.915747822133185	2.0	-10.588045320484165	2.0	-6.006024289129553	1.0	-2.962002528720812	1.0	-5.320763002026249	3.0		0.0	-11.458379428695839	2.0	-14.063096816541925	2.0	0.6412583834143788	1.0		0.0	-5.272283295306895	1.0	-4.416084276740837	1.0		0.0		0.0		0.0
samp_40	-6.2492383714919875	3.3664447448388874	-0.450232059484224		0.0	-6.967485895893126	2.0	-7.569285888824691	2.0	-10.151803447336608	1.0	-7.425491115805007	1.0	-7.878915689503163	2.0		0.0		0.0	-2.8956316220132323	2.0	-5.294035258820283	1.0	-4.33580815656569	1.0	-11.27510651866987	1.0	-13.114641455771743	1.0		0.0		0.0	-5.246011923328393	3.0	-4.379679253740844	1.0	-7.421959195281141	2.0		0.0		0.0
samp_41	-5.397557705904545	3.3899796032810783	-0.2935758315788517	-9.52940935991311	1.0	-7.1552128088740075	2.0		0.0		0.0	-7.650407293378115	1.0		0.0		0.0	-6.117541016766588	3.0	-2.96175619080753	1.0		0.0	-4.430876996331639	1.0	-13.767633421958259	2.0		0.0	0.6491968854763631	1.0	-4.767574606909077	1.0	-5.357786230659176	5.0	-4.475200906975936	1.0	-7.650988134032913	1.0		0.0		0.0
samp_42	-6.738611064541612	3.0486999576516958	-0.1556143404132986		0.0		0.0	-7.4976745117172285	1.0	-10.016539263928015	2.0		0.0		0.0	-10.223901377316162	1.0	-5.970518538954751	3.0	-2.9674139336392087	1.0	-5.294448959594905	1.0	-4.35779648772595	1.0		0.0	-12.189842753211616	2.0	0.6331636526825964	1.0		0.0	-5.2467040965262886	1.0	-4.399879866355111	4.0	-7.375429484486395	2.0		0.0		0.0
