run	log_tbg	log_alphap	log_betap	b14A8_log_P	b14A8_weight	b14A9_log_P	b14A9_weight	b14B1_log_P	b14B1_weight	b14B2_log_P	b14B2_weight	b14B3_log_P	b14B3_weight	b14B4_log_P	b14B4_weight	b14B5_log_P	b14B5_weight	b14B6_log_P	b14B6_weight	b14B7_log_P	b14B7_weight	b14B8_log_P	b14B8_weight	b14B9_log_P	b14B9_weight	b14C1_log_P	b14C1_weight	b14C2_log_P	b14C2_weight	b14C3_log_P	b14C3_weight	b14C4_log_P	b14C4_weight	b14C5_log_P	b14C5_weight	b14C6_log_P	b14C6_weight	b14C7_log_P	b14C7_weight	b14C8_log_P	b14C8_weight	b3E5_log_P	b3E5_weight
samp_19	-5.8736552856663735	4.579061930433723	-0.09480467926866275		0.0	-12.357106431008553	1.0	-5.982994230770704	2.0	-11.08645023768972	1.0		0.0		0.0	-11.18971080030435	1.0	-6.416381043768907	1.0		0.0	-3.5256458636947	1.0	-11.862170106797922	2.0		0.0		0.0	-5.783585466888551	4.0	-9.212987661700698	1.0		0.0		0.0	-5.221846611879331	2.0	-5.1359431559775715	2.0	-4.513489658205759	2.0
samp_20	-5.904482852856204	4.476331443221478	-0.07386828208137634	-10.32051219171661	1.0	-12.259472264758358	2.0	-5.948308165447469	1.0		0.0	-10.13668791013406	3.0		0.0	-11.103418757116264	1.0	-6.376841975981408	1.0	-7.203506159144135	1.0	-3.525451747840697	1.0		0.0	-9.952343884143305	2.0	-3.457799108560963	1.0		0.0	-9.131224099577832	1.0	-3.6729939278462163	1.0		0.0	-5.198224913471611	2.0		0.0	-4.499290209775751	2.0
samp_21	-5.991669315384421	3.945508815590666	0.1924881389408143	-10.029769604978478	1.0	-11.952174854125627	4.0		0.0	-10.724405914404613	2.0		0.0	-5.304904678925345	1.0	-10.827504819457545	4.0		0.0	-7.051543762676728	2.0		0.0	-11.46842195637384	1.0		0.0	-3.486464416140877	2.0		0.0	-8.882605749661034	2.0		0.0	-5.2971282787852845	1.0		0.0		0.0		0.0
samp_22	-5.871118175914069	4.473517564204397	-0.024622144418795348	-10.376110858962544	2.0	-12.323260782050829	1.0	-5.974137616163251	1.0		0.0	-10.189443660075005	1.0	-5.402780972194357	1.0	-11.155907877912904	2.0	-6.4044764523511	1.0	-7.237346524194028	1.0	-3.539454725637705	1.0		0.0		0.0	-3.4708497125063222	3.0		0.0		0.0		0.0	-5.396833221644539	2.0	-5.222134792944214	1.0	-5.135844652591348	2.0	-4.51955537933023	1.0
samp_23	-5.9306113945161885	4.369046614113226	-0.03520072886236266	-10.244203364407154	1.0	-12.177760229271698	3.0		0.0	-10.927861316986878	1.0		0.0		0.0	-11.03098306902019	2.0		0.0	-7.162194858174123	1.0	-3.529427658857316	2.0	-11.689428180684377	2.0	-9.88375872512105	2.0	-3.459220539971127	2.0	-5.727595050131317	2.0		0.0		0.0		0.0		0.0	-5.094991668034733	1.0	-4.489916546919038	1.0
samp_24	-5.837044179378709	4.693444265250987	-0.1910694007534958		0.0		0.0	-5.982595588486925	1.0		0.0	-10.248235299987368	1.0	-5.396835884029901	2.0	-11.215142640556225	1.0	-6.419638150932991	2.0		0.0	-3.5074982512736916	2.0	-11.893984639903623	1.0	-10.057715246152007	1.0	-3.445633361184264	1.0	-5.779168200253917	1.0	-9.238265571529015	3.0	-3.6534166394045973	2.0		0.0	-5.2114883505032985	1.0		0.0	-4.499072441644088	1.0
samp_25	-5.709397782554576	4.695725789477715	-0.18281438018704466		0.0		0.0		0.0		0.0	-10.283766908567467	1.0	-5.405610711242575	2.0		0.0	-6.433780319069244	3.0	-7.2921773773790575	1.0	-3.510475876336368	2.0	-11.955666977165272	1.0		0.0		0.0	-5.789965001029185	1.0		0.0	-3.656749503772406	1.0	-5.400937960552359	2.0	-5.219583120573308	3.0	-5.133890761821982	2.0	-4.504578405414924	1.0
samp_26	-5.955022987132332	4.440072458718481	-0.0280256153615097		0.0	-12.243810037534573	3.0	-5.954652038489559	2.0	-10.998957585805572	1.0	-10.134615481466588	3.0	-5.386881192134561	3.0	-11.101845891055838	2.0		0.0	-7.204827852469418	1.0	-3.5360326230563293	1.0		0.0		0.0		0.0		0.0	-9.126530242173322	1.0		0.0	-5.380949032014188	1.0	-5.207469963664389	1.0		0.0	-4.509473704712911	1.0
samp_27	-5.925787836629633	4.329483880534038	-0.016242097657338195	-10.224708568560475	2.0	-12.159634908015285	1.0		0.0	-10.908896797853426	4.0		0.0		0.0	-11.012045662298586	1.0		0.0	-7.151619082592064	1.0	-3.532326847088456	2.0	-11.670308025100503	2.0	-9.86575827686934	2.0	-3.4610814492918704	1.0		0.0	-9.047310944290459	1.0		0.0	-5.346437232258631	1.0		0.0		0.0	-4.488252213481092	2.0
samp_28	-5.83148614683283	4.8080979156900945	-0.20451086251608924	-10.541583060397393	3.0		0.0	-6.023549205660356	2.0	-11.21149761233094	1.0	-10.348408881644463	1.0	-5.427262020934641	1.0	-11.314965934054394	1.0	-6.466661389377262	1.0		0.0	-3.5096653328553478	1.0		0.0	-10.154016174825086	3.0		0.0		0.0	-9.333060251125351	2.0	-3.6556225978323202	1.0		0.0		0.0	-5.1529442660804055	1.0	-4.515222688109902	2.0
